job_title,job_id,date_posted,state_province,area_of_work,min_salary,max_salary,position_type,required_education,preferred_education,preferred_technical_experience
Product Manager Fall Co-op 2026,91213,03-Feb-2026,"Texas, North Carolina, Massachusetts",Product Management,"73,800.00","148,830.00",Internship,High School Diploma/GED,Bachelor's Degree,"• Exposure to product analytics or data visualization tools. 
• Coursework or projects related to AI, data, or software engineering. 
• Familiarity with responsible AI or ethics frameworks."
Software Developer Coop Fall 2026,91210,03-Feb-2026,"Texas, North Carolina, Massachusetts, California",Software Engineering,"75,600.00","166,320.00",Internship,High School Diploma/GED,Bachelor's Degree,"Experience with cloud services (IBM Cloud, AWS, Azure, or GCP).
Familiarity with REST APIs and databases (relational or NoSQL).
Exposure to CI/CD pipelines or automation tools.
Personal or open-source projects that demonstrate creativity and initiative.
Understanding of Agile development methods."
Network Architect (TS/SCI),89165,28-Jan-2026,"Virginia, Maryland, District of Columbia",Consulting,"116,000.00","200,000.00",Professional,Bachelor's Degree,Bachelor's Degree,"Proficiency in Additional ERP Systems: Experience with other Tier-2 ERP and MES systems beyond those listed, such as SAP or Oracle, can be beneficial in supporting clients' diverse business needs.
Industry-Specific Package Knowledge: Familiarity with industry-specific packages and solutions can enhance ability to develop tailored solutions that meet clients' unique business requirements.
Advanced Technology Integration: Experience with emerging technologies, such as cloud-based ERP systems or IoT integrations, can provide a competitive edge in delivering innovative solutions."
TA Entry Level Hiring School Lead,89181,27-Jan-2026,North Carolina,Enterprise Operations,"74,048.00","111,072.00",Entry Level,Bachelor's Degree,,"Experience using Adobe or similar tools to create banners, videos, or other marketing assets.
Previous experience managing university relations or executing recruitment events (career fairs, info sessions, etc.)."
Technical Lead TS/SCI W/FSP,75693,09-Dec-2025,"Virginia, Maryland, District of Columbia",Infrastructure & Technology,"144,000.00","248,000.00",Professional,Bachelor's Degree,Master's Degree,"•                    Advanced degree in Software Engineering, Information Technology, or Computer Science
•                    Experience designing and implementing multi-cloud solutions
•                    Experience with emerging technologies to include leveraging Artificial Intelligence (AI) capability"
Solution Architect,85698,13-Jan-2026,Texas,Software Engineering,"144,000.00","248,000.00",Professional,Bachelor's Degree,Bachelor's Degree,
Mainframe System Verification Tester Apprentice,90517,02-Feb-2026,New York,Infrastructure & Technology,"49,200.00","54,120.00",Internship,High School Diploma/GED,Associate's Degree/College Diploma,• None
Hardware Developer Intern 2026,55106,27-Oct-2025,"Georgia, Minnesota, Texas, New York, North Carolina, Virginia, Arizona, Massachusetts, California",Infrastructure & Technology,"72,000.00","132,000.00",Internship,High School Diploma/GED,Bachelor's Degree,"Expertise one or more of the following technology areas:
Microprocessor/ASIC Design Skills: VHDL, Verilog, RTL, SPICE, TCL, UVM, verification, and testing
Computer Architecture coursework: VLSI Design, Microprocessors, Computer Architecture and Organization, Signal Integrity (Electromagnetics, RF, etc)
Programming Skills: C/C++ or another object-oriented language, Git, Linux, GDB or another debugger, Agile practices
Scripting Skills: Python, APDL, TCL, Bash, Perl, or Java
Proficiency in CAD tools and 3D modeling
Familiarity with various hardware architectures: VLSI, FPGA, MIPS, RISC-V, Arm, x86, Arduino, Quantum systems"
Senior Managing SAP Data Lead,90267,04-Feb-2026,"Missouri, South Carolina, Georgia, Florida, Minnesota, Illinois, Ohio, Texas, New York, North Carolina, Idaho, Virginia, Alabama, Arkansas, Colorado, Michigan, Pennsylvania, Arizona, Washington, Massachusetts, Delaware, Louisiana, California, New Jersey, West Virginia, District of Columbia",Consulting,"147,000.00","254,000.00",Professional,Bachelor's Degree,,"* Advanced SAP EIM Skills: Experience with multiple SAP EIM tools, including SAP BODS, SAP BOIS, SAP SDI, SAP DATA HUB, SAP DMC, and SAP Data Migration, to develop comprehensive data solutions for S/4 HANA and other SAP products. 

   * Complex Data Flow Optimization: Experience in optimizing complex ETL data flows using Business Objects Data Services, ensuring efficient data processing and seamless integration within the Business Objects Enterprise landscape. 

   * HANA Replication Expertise: Experience with handling HANA replication with Data Services and loading with SAP DMC, ensuring efficient data management and integration."
2026 Intern Conversion: HR Professional - Armonk NY,52231,14-Aug-2025,New York,Enterprise Operations,"85,440.00","128,160.00",Entry Level,Bachelor's Degree,Bachelor's Degree,
Digital Technical Specialist Intern – Entry Level Sales Program 2026,53607,16-Jan-2026,"Georgia, Texas",Sales,"55,980.00","102,630.00",Internship,High School Diploma/GED,Bachelor's Degree,"Programming coursework or experience a plus.
Prior work experience in client sales or service."
Software Engineer,67562,12-Dec-2025,"Virginia, Washington, Maryland",Data & Analytics,"137,000.00","236,000.00",Professional,Bachelor's Degree,,"1+ year of experience conducting software engineering work on AWS classified cloud architecture.
Certifications such as Security+, AWS Certified Developer, or Certified Kubernetes Application Developer (CKAD).
Experience with microservices architecture and RESTful APIs. 
Familiarity with infrastructure-as-code tools (e.g., Terraform, Ansible). 
Experience working within a high-performance compute environment."
Entry Level Software Engineer 2026,57952,01-Dec-2025,"Texas, New York",Infrastructure & Technology,"96,000.00","144,000.00",Entry Level,High School Diploma/GED,Bachelor's Degree,"Knowledge of computer architecture and micro-architecture 
Programming projects with complex requirements
Understanding of Digital/VLSI Circuits
Linux experience"
Entry Level Supply Chain Management Professional 2026,76123,03-Feb-2026,"Minnesota, New York, North Carolina, Arizona, California",Enterprise Operations,"61,000.00","121,000.00",Entry Level,High School Diploma/GED,Bachelor's Degree,"Preferred technical and professional experience
•    Experience with Python, SQL, and other data management/visualization tools
•    Pursuing Bachelor's Degree Passion for technology and engineering.
 Growth minded, trusted, team focused, courageous, resourceful, and outcome focused."
